channel_name,hashtag,key_hex,channel_hash,description,region
Public,False,8b3387e9c5cdea6ac9e5edbaa115cd72,17,"Default public channel (fixed PSK, not hashtag-derived)",global
#test,True,9cd8fcf22a47333b591d96a2b848b73f,156,Global testing channel,global
#testing,True,cde5e82cf515647dcb547a79a4f065d1,205,Testing (alternate name),global
#ping,True,3cae16fd067ba9c32a98be22e9b98525,60,Ping-bot testing channel,global
#emergency,True,e1ad578d25108e344808f30dfdaaf926,225,Emergency communications,global
#hamradio,True,83c8b01997654265938da8765cbc7db9,131,HAM radio operators,global
#qrv,True,4d6de18b9bb6ef3f7c7197e8441044ed,77,HAM QSO coordination/logging,global
#hard-software,True,c4419524d9ce72ac093fdd2a0a856595,196,Hardware/software discussion & troubleshooting,global
#blackout,True,75420460f335577fa27cdd20dacf9edd,117,Power outage info/notifications,global
#warnings,True,31d44d29ed676f8020dc09211a2ee9d8,49,General warnings channel,global
#aurora-alert,True,e823127951fc6a425abe0c65ac07b323,232,Aurora/northern lights alerts,global
#flachwitze,True,ec98cd8821fada7fe21ff9e1df6c619f,236,Jokes channel (German flat jokes),global
#general,True,4c49f3f24629f5ee4ad5b3965db47985,76,General chat (common default),global
#switzerland,True,8ad1ce57ad257627090ed28413c1f0b7,138,Swiss national channel,CH
#svizzera,True,e571e6921d9c19d1c393f2ba9286abba,229,Italian-speaking Switzerland,CH
#suisse,True,2b8dd2d22f0820d9945316be97359ab1,43,French-speaking Switzerland,CH
#chtest,True,ee95ca5221f5b41941b26d89fd702c37,238,Swiss testing channel,CH
#bern,True,7658cadca2e40ba98cb13ce19782e994,118,Bern region,CH
#zuerich,True,15d09e6787401c4fdbef4bf10ffcef53,21,Zürich canton/city,CH
#wallis,True,1e65af5328cec2c29d03c77a5dfb8cb8,30,Wallis/Valais canton,CH
#freiburg,True,ec1c88f03aad858a6d74ec36ac04c420,236,"Freiburg (DE, near CH border)",CH/DE
#netzstatus,True,e84d5ce15046d5a7f69db3a40f604851,232,"Network status, mainly Germany",DE
#muenchen,True,3f50b3350a8ed17a303f07e9641dff4a,63,Munich area,DE
#hansemesh,True,21ddee26dc5215153c3903165fd4262f,33,HanseMesh community (Hamburg),DE
#de-sn-dd,True,c252cf274c306e76d9531fdf96f8dfa0,194,Dresden/Saxony test channel,DE
#berlin,True,8bffd7b0bf481d92afc625e409b88a16,139,Berlin (mentioned in MeshCore tutorial),DE
#hamburg,True,6ee6b4b98d5856392596cc1929eb2e36,110,Hamburg area,DE
#koeln,True,cc2de011842824b10ee2e28e97f91339,204,Cologne area,DE
#frankfurt,True,0d8e969330d62f9356b5e4d415ea7f98,13,Frankfurt area,DE
#stuttgart,True,74710f9e61866f184734bc367d9f492a,116,Stuttgart area,DE
#deutschland,True,6870d6013221f0278122cb8c88990794,104,Germany national,DE
#ruhrgebiet,True,6b5f2c549d9de0116749aa087e3caa4e,107,Ruhr area,DE
#nuernberg,True,a6e4f905a64512843b12ec20750f4161,166,Nuremberg area,DE
#dresden,True,a6f1bb7dbc598884b7a15be59e61ecd6,166,Dresden area,DE
#leipzig,True,0cc55d55809a7b048c39dd01c3254381,12,Leipzig area,DE
#hannover,True,b9430bfc2908b23efcae886f16eb425b,185,Hannover area,DE
#duesseldorf,True,1dfb747e50229101f2232e391d1eb5a7,29,Düsseldorf area,DE
#dortmund,True,37951d1ca4e428fd24c57f3087f160f0,55,Dortmund area,DE
#essen,True,80174f513e9099612b537bc1cd450a41,128,Essen area,DE
#austria,True,faaa5ef01081222e319a8205357321f4,250,Austria national channel,AT
#wien,True,aba9d5e2fb16d2b02111db5926819065,171,Vienna,AT
#graz,True,ea00635b84c245d519d29dc4044a43a1,234,Graz,AT
#salzburg,True,132d8883191473fc8a82f3447909a37d,19,Salzburg,AT
#innsbruck,True,dee607ccd01ca7ef375c0567c554db97,222,Innsbruck,AT
#linz,True,9b417e09eb452be6d068c90b3c46303d,155,Linz,AT
#italy,True,f8d4dd36f6b9476eb4cec18a1536b17d,248,Italy (English name variant),IT
#italia,True,17fa9f15bec81ed7da12116253db5a20,23,Italy (Italian name variant),IT
#roma,True,3523b8022329e6648738f0e5448ffcc1,53,Rome,IT
#milano,True,ea8929998e608b67fe5c2bcf29473d8f,234,Milan,IT
#nederland,True,c14f7b1e0416e4fa74f5f7b81a707b50,193,Netherlands national,NL
#amsterdam,True,d768f5a0aa65f8c54e4ea521bd49eb4f,215,Amsterdam,NL
#rotterdam,True,e3f3ad251e512a029bd27161b14f0bdd,227,Rotterdam,NL
#utrecht,True,042e458dfb05b17cbdee57f93df4be4c,4,Utrecht,NL
#denhaag,True,84eed36f62c7b22527dbf8883585ad14,132,The Hague,NL
#eindhoven,True,aceb8cceae584a3890c8db173668ae2b,172,Eindhoven,NL
#groningen,True,6a18329035bd3d2be69fed9094ffa5f4,106,Groningen,NL
#localmesh,True,13934f45750ce5f54311771bc52dc2a9,19,LocalMesh NL community,NL
#belgium,True,7085b78ed010599094f8c8e7d1aa0e27,112,Belgium national,BE
#belgie,True,559a87a20b1170a11656ffbe15d27c07,85,Belgium (Dutch),BE
#brussel,True,58648303d8e2b4e35f4301c4551d6307,88,Brussels,BE
#antwerpen,True,5900168627ddb2963d3fd8dba3fecbb9,89,Antwerp,BE
#gent,True,82f82c2835bd5fbda1ab0eb134364532,130,Ghent,BE
#france,True,edcb362b38e74b99025a7e551d925d20,237,France national,FR
#paris,True,d0fc2b1ec400eb8669010ce0311a00fb,208,Paris,FR
#lyon,True,0b4b602516088ea6d245be43102643b0,11,Lyon,FR
#marseille,True,c91ed99a23e560300b60325c0b9fb3ea,201,Marseille,FR
#uk,True,22b2eed34b5cc429ce1dc5e88635ff84,34,United Kingdom,UK
#london,True,9881d2b7ab9105a41a8d0f6ba449447e,152,London (mentioned in MeshCore tutorial),UK
#manchester,True,5ddc4f781fa3f504e9f514e77df13790,93,Manchester,UK
#birmingham,True,13b1c76ef007b4ad0c3b168610337513,19,Birmingham,UK
#scotland,True,f4fce403cfd56f7089920d065718f29c,244,Scotland,UK
#ireland,True,1b2a12acc5db1517d9d407946756b1da,27,Ireland,IE
#dublin,True,8792638977132bc05a1f72d6bb913694,135,Dublin,IE
#seattle,True,ef627a9bbbb549347fdb76bf0cd3bc14,239,Seattle (Puget Mesh),US-WA
#bot,True,eb50a1bcb3e4e5d7bf69a57c9dada211,235,Bot channel (Puget Mesh),US-WA
#bot-tacoma,True,278df637e12a0dda01c826e1fd9779fd,39,Bot channel Tacoma,US-WA
#bot-van,True,bf07fbf914e37710561cb741e914efeb,191,Bot channel Vancouver,US-WA/CA
#capitolhill,True,7f281916c8ec32e13c5ef687d182160a,127,Capitol Hill Seattle,US-WA
#protest,True,195e9167baf010c4538d8532b6d7296e,25,Protest coordination,US-WA
#queer,True,5754476f162d93bbee3de0efba136860,87,LGBTQ+ community,US-WA
#seahawks,True,4973d6ceb6c35a09894a83688847c8a3,73,Seattle Seahawks,US-WA
#sports,True,e8ee81f3aabf105d9ba2d2d4bd94fe4a,232,Sports discussion,US-WA
#salishmesh,True,c1ec55555132c7598393c869715b7555,193,Salish Mesh (Vancouver BC area),CA-BC
#dwebyvr,True,b8f956aab74dae02f70f11ddba36de53,184,DWeb Vancouver,CA-BC
#zspace,True,fc86b8cceea87091d45f166c7a698f78,252,ZSpace Vancouver,CA-BC
#portland,True,45c6bc719c15b9fb809f48f594359877,69,Portland OR,US-OR
#pnw,True,98059014c708581fbf0a398cfe8a486d,152,Pacific Northwest,US-PNW
#tacoma,True,9ba83a22a865c9baaffc6bc8b6a33d2f,155,Tacoma WA,US-WA
#idahomesh,True,60baad727ec5235cee359135aeecb3f4,96,Idaho statewide mesh,US-ID
#nodakmesh,True,156134e4a3f6d9826a39e0b7f85afdcd,21,North Dakota mesh,US-ND
#florida,True,c44bd74eac2c81dcb6dfb217727b05cd,196,Florida statewide,US-FL
#miami,True,d81c566a5d337d588ebd250df6fc1b63,216,Miami,US-FL
#tampa,True,8d10508c39d5d8e6c5e3e8fab41d1c09,141,Tampa,US-FL
#orlando,True,3553bdbd9b3a54da760624a27dcda156,53,Orlando,US-FL
#jacksonville,True,6cf63df8459d99d4a4a6177acf6661f6,108,Jacksonville,US-FL
#texas,True,c4a214e133de5e9ad276f99fdbd7216f,196,Texas statewide,US-TX
#austin,True,b2e6f9af95d959734d71cdf90ca62533,178,Austin TX,US-TX
#dallas,True,5b2efa4e2ad0a2b83c5486ca4dd244de,91,Dallas TX,US-TX
#houston,True,c001fbacad2d97676395ca37e2576345,192,Houston TX,US-TX
#sanantonio,True,c2e72548c615d1cf2796a6f77b9545b0,194,San Antonio TX,US-TX
#dfw,True,5b7dc809ba579affccab5462c537244e,91,Dallas-Fort Worth,US-TX
#california,True,55da17570958a6a311939c99582e6f60,85,California statewide,US-CA
#losangeles,True,3dd9373dcea0294bd05ab067cc58e9d4,61,Los Angeles,US-CA
#sanfrancisco,True,ae3608083279fd2ad03f0d6a99617d25,174,San Francisco,US-CA
#sandiego,True,08623bbd90a96ecdc1f5c34e7292b35f,8,San Diego,US-CA
#bayarea,True,7f9a5fd3070ad14e337ba100ca53a89b,127,Bay Area,US-CA
#sacramento,True,a6d6927f0b48762cf1346e2ae95cec14,166,Sacramento,US-CA
#socal,True,f4018307615ac79d2e5ef17bb44654d4,244,Southern California,US-CA
#norcal,True,f2438510715f5d9d55eb4370664330f5,242,Northern California,US-CA
#sanjose,True,ce964c28170b1c043d06073e6fcd83a7,206,San Jose,US-CA
#sfbay,True,5bd50243f42644439c21dfe367eea031,91,SF Bay,US-CA
#baymesh,True,1be0e569ad371f72d1e36da7242ae2f0,27,Bay Mesh community,US-CA
#boston,True,9587d847a7208da684c89cc1f525bc03,149,Boston MA,US-MA
#newyork,True,82a78024dd7edf6c9be298c919632e25,130,New York,US-NY
#nyc,True,6e6554655f84ca26fbc09d81d15d6b96,110,New York City,US-NY
#chicago,True,c1c289b131e5222370cbc2048445844b,193,Chicago IL,US-IL
#denver,True,b24355a0d22ed2bf393ec530d75810b4,178,Denver CO,US-CO
#phoenix,True,027850d9410fa98809819c96644ec04c,2,Phoenix AZ,US-AZ
#atlanta,True,3c8f15665f99a349a97427e7c312ee0e,60,Atlanta GA,US-GA
#nashville,True,717490d2561c2e1f211b13e95073fb16,113,Nashville TN,US-TN
#charlotte,True,b67efd607080d98640774cb31181b0ce,182,Charlotte NC,US-NC
#raleigh,True,1a2999ed1fea10e2cdf456ff118193d9,26,Raleigh NC,US-NC
#minneapolis,True,3283cca82b7b0ac50e8014c344cb8a86,50,Minneapolis MN,US-MN
#stlouis,True,f366422991a19e745f65096e59b43d51,243,St. Louis MO,US-MO
#pittsburgh,True,926cb5461a1ef572619da576ef7de04b,146,Pittsburgh PA,US-PA
#detroit,True,bd01f26bf7d8c90952753157a41c61ac,189,Detroit MI,US-MI
#washingtondc,True,0067d451cc79f26bc9924b3fc53f28d7,0,Washington DC,US-DC
#dc,True,0f3aa71fed514f5c16ebaf265ef05b2e,15,DC (short form),US-DC
#colorado,True,ef61c9e5a3286053746f7603044bcb08,239,Colorado statewide,US-CO
#ohio,True,e89e8c2f72ebae476c4ded78a360d0ea,232,Ohio statewide,US-OH
#virginia,True,07655778c8adeb16c1a0470cc3516b01,7,Virginia statewide,US-VA
#georgia,True,6621a99c4c21a1f4897a9833a95ac962,102,Georgia statewide,US-GA
#michigan,True,4b0dc02774aa2ad8fe120d4ab0d17f1c,75,Michigan statewide,US-MI
#newengland,True,4ad1e19832319b916ab4f3a0fbb0a38e,74,New England region,US-NE
#appalachia,True,ab353b2bf5d281d97cd73d897ef8e149,171,Appalachian region,US
#hawaii,True,3fd57495820328594e1641d14583faa6,63,Hawaii,US-HI
#alaska,True,2a5841192b151422baec71537b0b5238,42,Alaska,US-AK
#vegas,True,d45435b6467e7ded33c28f6796bf5183,212,Las Vegas,US-NV
#lasvegas,True,b82b823d6dcc845ead47cee8cfa758b3,184,Las Vegas (long form),US-NV
#saltlakecity,True,07e180549b35782901d407832b3ec6a6,7,Salt Lake City,US-UT
#slc,True,fd31a70b220eb3e2430e59c15432ef8c,253,SLC (short form),US-UT
#utah,True,ee42ff5f055f2e83527e4efb91b10d0a,238,Utah statewide,US-UT
#canada,True,8373bb1055f34164c6dd2663927cb6d9,131,Canada national,CA
#toronto,True,e0d3774dd1da4dc5c55d8bd731555334,224,Toronto,CA-ON
#vancouver,True,16d6034be448ab86d11858cfa4c57c9c,22,Vancouver,CA-BC
#montreal,True,0c4c03b5fbea5b80f89e2a2a16ed3f40,12,Montreal,CA-QC
#calgary,True,bbbb1ad23fe1cdd7739667418204a57d,187,Calgary,CA-AB
#ottawa,True,7871ec72b45617696c35c970bddd8124,120,Ottawa,CA-ON
#edmonton,True,ce451a3a24ee89ee31564ae29e9dee04,206,Edmonton,CA-AB
#winnipeg,True,3c3294aac8a83b1143ab6bedee5b5226,60,Winnipeg,CA-MB
#australia,True,eadb84fa1da64c44b77c40fd11b9d78e,234,Australia national,AU
#sydney,True,57fe5284a5b905835193868d9bdbe1e9,87,Sydney,AU-NSW
#melbourne,True,4d73731d9450ccb9673eb923c0f40af2,77,Melbourne,AU-VIC
#brisbane,True,e4bd09784621decac600d0d4d857e3b2,228,Brisbane (MBUG community),AU-QLD
#perth,True,9873c6cf14dac409b5a573574cff5ce1,152,Perth,AU-WA
#adelaide,True,9ad0c536f3eabc7c2f0434d68e242009,154,Adelaide,AU-SA
#canberra,True,c716951221e6c17faf5f22b6245ce64b,199,Canberra,AU-ACT
#newzealand,True,1870a961e4aa06f62b02b835efcacb71,24,New Zealand national,NZ
#nz,True,eb87ee8817ba71315ac7be9c733b523a,235,NZ (short form),NZ
#auckland,True,7c6f1c71a5a3d6823a1d7bfd2a349ac8,124,Auckland,NZ
#wellington,True,c2da57d74f78996ad71bbe3e22446f16,194,Wellington,NZ
#christchurch,True,7b88b875fc5ae76305c8a15349549a3b,123,Christchurch,NZ
#gisborne,True,d8b45a1eb52d0bd45655d5f2a72d571f,216,Gisborne (mentioned in MeshCore tutorial),NZ
#weather,True,88f502554fee92a1625cfb311546e7cb,136,Weather updates,topical
#jokes,True,abe610d61dee508c0ac18793c36c41c3,171,Jokes channel,topical
#quotes,True,086be6f920280b7cc51d6ad91d6a786c,8,Quotes channel,topical
#secret,True,be657c0527e122bf93bc735999cd7e0d,190,Secret channel (Brisbane MBUG),topical
#chat,True,d0bdd6d71538138ed979eec00d98ad97,208,General chat,topical
#news,True,ecadb1a7d803db8958bea1302ca6e8be,236,News channel,topical
#help,True,dcc67fae2067046832af7b2b0b743165,220,Help channel,topical
#sos,True,9ed2c78bcd68ac7ce2a2fc3bb4045114,158,SOS / distress,topical
#prepper,True,1eec1a7df7080a392cb490473c4a9920,30,Prepper community,topical
#offgrid,True,aaa26662bebf122262692d0bca61dcef,170,Off-grid living,topical
#radio,True,266f225baced1b2a868dcc8e9c69a304,38,Radio hobby,topical
#lora,True,0749ea267c6be7b54ca1dbbae7dba0aa,7,LoRa technology discussion,topical
#meshcore,True,2fa78a5aef618e7c2a78f0ab5c8869b3,47,MeshCore project discussion,topical
#meshtastic,True,73a2e13ff0dea9ed19b24b2ab753650f,115,Meshtastic discussion,topical
#iot,True,233b42534ed82b8ae6a88d785f1b27fd,35,IoT / sensors,topical
#solar,True,7592a730ff1af2b40b95589fbafcca01,117,Solar power,topical
#emcomm,True,a9a49340642dfc4c562d7849b7c8a258,169,Emergency communications,topical
#ares,True,44419e394cde859e45710f288db939a8,68,ARES (Amateur Radio Emergency Service),topical
#gmrs,True,2ad811e84ab4ad0e3a648d8fcf3d650a,42,GMRS radio,topical
#cb,True,a35b5f87bbb67859a02e7666c823de7a,163,CB radio,topical
#hiking,True,2370a013053e384e5f18918bc2b26baf,35,Hiking,topical
#camping,True,c011b7c2abf33748cd9bd5a78c2b4955,192,Camping,topical
#hunting,True,0c0c28fd9bbf096ee06e01af840037af,12,Hunting,topical
#fishing,True,a671ca13cc499898aea4596e804ecf20,166,Fishing,topical
#skiing,True,b3baf3586d347ecaf2c113106a564207,179,Skiing,topical
#biking,True,9c0591d708b7c7970c9ad6712e3c4d05,156,Biking,topical
#ham,True,5270db3979da687fa133fec6684cd952,82,HAM radio (short form),topical
#cq,True,bc9da8bdebcaeee40fefff7dd16855f1,188,CQ (calling all stations),topical
#dx,True,adf77706da76b66bb0a313c1484d3be4,173,DX (long distance contacts),topical
#repeater,True,289991a3077903263f2d31493887c651,40,Repeater discussion,topical
#firmware,True,6163564e7449c1c842e58dcf2cd1ab4f,97,Firmware discussion,topical
#debug,True,fd7a60ed4796efcd1965c2de466105cb,253,Debug channel,topical
#dev,True,d41bcba61e9dca7177c7b8533d23a0bc,212,Development channel,topical
#admin,True,889334b7e486938c776dbdde120da9de,136,Admin channel,topical
#monitor,True,131479235e65b7c591307f699d64dc74,19,Monitoring channel,topical
#alert,True,678c7d2e08c019e113ace03eaaa128ad,103,Alert channel,topical
#local,True,d2d35fa76be9875ed254db80397483a5,210,Local community,topical
#neighborhood,True,53403881955f0e11573ba1e5d3a82c4b,83,Neighborhood chat,topical
#community,True,b9323ce55a729068ed8e3ed49b9b84b5,185,Community channel,topical
#events,True,d2cbcc606979cdb05c7bd66f49f23baa,210,Events channel,topical
#trade,True,c2be982890fb3a63113de637b9aee6fe,194,Trading/swap channel,topical
#marketplace,True,354a741c2975c843ec0706089390b968,53,Marketplace,topical
#gaming,True,3802c79121f195ea50ad9ab2aa2c402a,56,Gaming,topical
#music,True,b025ab29b0a5f56fb68a474741d7a2cc,176,Music,topical
#tech,True,5177b749eefbfab3c90a21b4e2518c5f,81,Technology,topical
#science,True,8abc980d3764fdabda5dfa6b6bc3a6cc,138,Science,topical
#crypto,True,0aa7c45d99be27024b82a1474c693951,10,Cryptocurrency,topical
#bitcoin,True,94bf6fd2688b1456c071ebad63d7021d,148,Bitcoin,topical
#linux,True,02c74eda5d8ec8b9bb945049fb2f55c6,2,Linux,topical
#arduino,True,ce8c596922eff9274f3b1e19ad296754,206,Arduino,topical
#raspberry,True,469bc476d8263b64b6f90ca868b04b91,70,Raspberry Pi,topical
#esp32,True,9f8aac4c48973b07bbdc47acbaea3e8e,159,ESP32 projects,topical
#heltec,True,71af5d9a209e8b17a19ee22aa7b6be23,113,Heltec devices,topical
#lilygo,True,a33dd4b025cc82b81f97318a63a9d5d3,163,LilyGo devices,topical
#rak,True,1f4734675fdfcabfaa67a0a059c65c5f,31,RAK Wireless devices,topical
#antenna,True,e8979157107155ade90822e29b186ee8,232,Antenna discussion,topical
#rf,True,46aaa16f78b3969040aad2b6b694b59e,70,RF engineering,topical
#preppers,True,4877173813de9668b9ef33adbc1b8f37,72,Preppers community,topical
#survival,True,e1f465ea51df09fc901389758f1c5f01,225,Survival skills,topical
#grid-down,True,94ddbd51f2ee0bd47426a6f3ed79be99,148,Grid-down scenarios,topical
#wildfire,True,b9124c3aecc0c813634f79f144b93f83,185,Wildfire alerts,topical
#hurricane,True,c13a2f9d18400e5d93bae4bb3afef40c,193,Hurricane alerts,topical
#earthquake,True,0c7082c04a1a90502a5f32fc6a9f6524,12,Earthquake alerts,topical
#flood,True,f2a0fd0abe4c9fc6865b5f8eebf319d6,242,Flood alerts,topical
#tornado,True,76e577e8187d0bab89052343f3835039,118,Tornado alerts,topical
#storm,True,113761b9e31a5c30e0ee4fc78dc7310b,17,Storm alerts,topical
#traffic,True,c1216dacbb7e4c3b9a3356e52f1c27fa,193,Traffic updates,topical
#fire,True,3d74a070077293ab66baf3aa724349ff,61,Fire alerts,topical
#police,True,79b89aa870ea85dbb8396f401e547d99,121,Police scanner / alerts,topical
#ems,True,f714461f26d43d9a17b2530c3ad29bc2,247,EMS / first responders,topical
#search-rescue,True,cd8ab9e4944ee656ae6e961a4437c551,205,Search and rescue,topical
#volunteer,True,2d3d64746075cb99407d681e547b99cb,45,Volunteer coordination,topical
#data,True,b0d9c01c8278a711c68ffdca98ef1245,176,Data/telemetry channel,topical
#sensor,True,6218df72386dd48259024327e8ebf66f,98,Sensor data channel,topical
#tracker,True,70258e69aeb03d1cd2e16072e1fe14b5,112,Asset/pet tracker,topical
#gps,True,af4b9f722a6200b1eb2696660017d0df,175,GPS tracking,topical
#boat,True,c03117578e38c3f1eb5ae8c3d0019753,192,Boating/maritime,topical
#sailing,True,c2f6052f8b89639f81c8ff4def32deae,194,Sailing,topical
#marine,True,7f4b40aac63642805a54a959beb07694,127,Marine channel,topical
#aviation,True,e17538c835ee0990b349ca1879b4f57a,225,Aviation,topical
#drone,True,4460931543103de42d2f85093a80273c,68,Drone / UAV,topical
#fpv,True,6d2752bc94797cfce43e2138eab7a772,109,FPV flying,topical
#farm,True,4a2f1b2147165cf942402a4c6bd7d42d,74,Farming / agriculture,topical
#ranch,True,5885e728fc06bfcbe7d6c9020c13ff10,88,Ranch / livestock,topical
#tucson,True,cf989ccea881cf5ddcf40d87bbfc441e,207,Tucson AZ,US-AZ
#albuquerque,True,2a59b6ce7d3ce661664217f9b8255e86,42,Albuquerque NM,US-NM
#boise,True,f4e641f9c90ac3bd5bc442ef379f6eb3,244,Boise ID,US-ID
#spokane,True,dfcf2a863b3baa99e3d3274bfb56439f,223,Spokane WA,US-WA
#olympia,True,baec83dd15ef758ad8bf8f357237c9cb,186,Olympia WA,US-WA
#bellingham,True,6000c8e3c1343fd920749eb3ad2a42b4,96,Bellingham WA,US-WA
#eugene,True,e6ce6f5e71d88bb90c0b7dacc2235662,230,Eugene OR,US-OR
#bend,True,291ddea6fc1c1742f7ad425819b66f7b,41,Bend OR,US-OR
#reno,True,e9edf1edf57a04b8f66e75829b4edc06,233,Reno NV,US-NV
#provo,True,72744153a7a2d84ed69338be4dc3fc31,63,Provo,US-UT
#orem,True,97236968b8a6c0cf297f1c1365539d0d,157,Orem,US-UT
#ogden,True,cdeec2a40203056a6c6f2d1fb5f50b81,245,Ogden,US-UT
#logan,True,b0ee430ede14470d5ff8fafbe092ee50,145,Logan,US-UT
#stgeorge,True,7792659def2811af89a02270b2918235,128,St. George,US-UT
#parkcity,True,bbb64d6ae8eaeaf4302f501844f64511,25,Park City,US-UT
#lehi,True,18f20a96d251665105d59df6ca5bcc5c,98,Lehi,US-UT
#byu,True,65633d6a99bbcb173cb01afeae3a51d0,194,Brigham Young University,US-UT
#uvu,True,cb305b9b3d0ab33fce2186ee6b9c58ff,91,Utah Valley University,US-UT
#uofu,True,c08fe0d4d37b4b7f233f2977296979d5,178,University of Utah,US-UT
#usu,True,ceb222637d010d1c5551a5035e86f89d,104,Utah State University,US-UT
#utahcounty,True,f191a8a833d2ae61b7fbfa8c9891cc0c,23,Utah County,US-UT
#daviscounty,True,926847daaed0baa7758df5ef8af76f32,11,Davis County,US-UT
#webercounty,True,364726e43d1fb9b8079ededb03f00764,172,Weber County,US-UT
#wasatchfront,True,eb9fa3bfa390eed3737634bed39c7460,44,Wasatch Front metro corridor,US-UT
#wasatch,True,15bf0e80d3d88092d38e4c82da7e523e,0,Wasatch region,US-UT
#saltlake,True,56327c6958d9108213f8638fb2a2b7a4,173,Salt Lake (alternate),US-UT
#tooele,True,092cbdcf351bdbe77ce6c00e1dbeb294,184,Tooele,US-UT
#sanpete,True,4ae01748b17bfc90e13004f19e734bbc,151,Sanpete County,US-UT
#watchman,True,11489fe661e776b3ccdcf864bd14f7d6,245,Watchman mesh health alerts,global
